Subject,Level,TrialNo,Pred,Early.Late,Right.Wrong,Length,SoundFile,QuLength,CharacterLength,QuOnset,QuOffset,Response Onset,RT.s,QuLength.ms,CharacterLength.ms,QuOnset.ms,QuOffset.ms,ResponseOnset.ms,RT.ms,Response,Accuracy,Comments
5,Beach,3,Pred,late,wrong,Long,mummypig_late_t,2.700804835,0.764833531,3.711010416,6.411815251,6.838231342,0.426416092,2700.804835,764.8335309,3711.010416,6411.815251,6838.231342,426.4160919,n,1,NA
5,Beach,4,Pred,late,right,Long,mickeymouse_late_t,2.707895166,0.939343407,3.6811271,6.389022266,6.662488549,0.273466282,2707.895166,939.3434073,3681.1271,6389.022266,6662.488549,273.4662822,y,1,NA
5,Beach,5,Pred,late,wrong,Long,daddypig_late_t,2.642951696,0.676462608,3.719813543,6.362765238,6.747343463,0.384578224,2642.951696,676.4626076,3719.813543,6362.765238,6747.343463,384.5782244,n,1,NA
5,Beach,6,Pred,early,right,Short,belle_early_t,2.389039529,0.772137704,3.786405653,6.175445182,6.427713567,0.252268385,2389.039529,772.1377038,3786.405653,6175.445182,6427.713567,252.268385,y,1,NA
5,Beach,7,Pred,early,wrong,Long,mickeymouse_early_t,2.985494347,0.667891749,3.691811614,6.677305961,7.306827219,0.629521258,2985.494347,667.8917485,3691.811614,6677.305961,7306.827219,629.5212577,n,1,NA
5,Beach,8,Pred,late,wrong,Long,scoobydoo_late_t,2.680701489,0.8352203,3.701765658,6.382467147,6.880993979,0.498526832,2680.701489,835.2203002,3701.765658,6382.467147,6880.993979,498.5268319,n,1,NA
5,Beach,9,Pred,early,wrong,Long,curiousgeorge_early_t,3.359510559,0.709678714,3.806129858,7.165640417,7.545697497,0.380057079,3359.510559,709.6787139,3806.129858,7165.640417,7545.697497,380.0570793,n,1,NA
5,Beach,10,Pred,early,right,Long,scoobydoo_early_t,2.759690809,0.708408199,3.653627381,6.41331819,6.848323196,0.435005006,2759.690809,708.4081986,3653.627381,6413.31819,6848.323196,435.0050061,y,1,NA
5,Beach,11,Pred,late,right,Short,boots_late_t,2.395403726,0.594802119,4.619264795,7.014668521,7.504632536,0.489964015,2395.403726,594.8021188,4619.264795,7014.668521,7504.632536,489.9640151,y,1,NA
5,Beach,12,Pred,late,wrong,Short,chase_late_t,2.493944149,0.723666748,3.76452798,6.258472129,6.548384852,0.289912724,2493.944149,723.6667477,3764.52798,6258.472129,6548.384852,289.9127235,n,1,NA
5,Beach,13,Pred,late,right,Long,curiousgeorge_late_t,3.080433277,1.163399483,3.758956846,6.839390123,7.253815095,0.414424972,3080.433277,1163.399483,3758.956846,6839.390123,7253.815095,414.4249719,y,1,NA
5,Beach,14,Pred,early,wrong,Short,boots_early_t,2.359140056,0.768914113,4.38908551,6.748225567,7.051902291,0.303676724,2359.140056,768.9141129,4389.08551,6748.225567,7051.902291,303.6767242,n,1,NA
